word,log_freq,entropy,entropy_targeted,rounds,rounds_targeted
snars,0.0,4.98365565949777,4.566717511601845,4.0,
snary,0.0,5.273367816601585,5.152166910969177,4.0,
snash,0.0,4.5009565920808745,4.251454088989839,4.0,
snath,0.0,5.101634698253757,5.088900558249073,4.0,
snaws,0.0,4.366867611486628,3.906448262460356,4.0,
snead,2.38,5.470424173810932,5.170331477349419,4.0,
sneak,3.99,5.256453068919682,4.903240747541955,4.0,3.0
sneap,0.0,5.354569469018971,5.120095014970605,4.0,
snebs,0.0,4.469809733246639,3.951130028203392,5.0,
sneck,0.0,4.67807538845174,4.536524971150189,4.0,
sneds,0.0,4.654689369069124,4.133231267247139,3.0,
sneed,2.24,4.817190914093299,4.617443889653068,4.0,
sneer,2.7,5.064305210910536,4.965675555474319,5.0,3.0
snees,0.0,4.512855109060606,4.041072028504908,5.0,
snell,2.89,4.59389745428673,4.6025585348657865,4.0,
snibs,0.0,4.322500653394071,3.8023577748470703,5.0,
snick,1.71,4.531969258476693,4.397168965860067,4.0,
snide,2.59,5.342013420129845,5.189179098741288,4.0,3.0
snied,0.0,5.410243718097316,5.189702644081244,4.0,
snies,0.0,5.110602902242476,4.617604939063773,3.0,
sniff,3.44,3.771242303320311,3.6443338526031135,4.0,4.0
snift,0.0,4.666761263487307,4.69494259874927,4.0,
snigs,0.0,4.3513915383821615,3.893758780652522,4.0,
snipe,3.04,5.308794059604872,5.177013822685477,4.0,3.0
snips,2.25,4.459674023729051,3.9456503671767,4.0,
snipy,0.0,4.74351028517088,4.544852565149959,4.0,
snirt,0.0,5.278948959924106,5.338694489478262,4.0,
snits,0.0,4.702029416627861,4.316037983510364,5.0,
snive,0.0,4.908579522500035,4.847405715039879,4.0,
snobs,2.6,4.359802572022918,3.800293363458533,5.0,
snods,0.0,4.552358476860981,3.9859385373359526,5.0,
snoek,1.43,5.255093877321945,4.905079007208928,3.0,
snoep,0.0,5.352135528495094,5.120944953876198,4.0,
snogs,1.24,4.390155565495625,3.8959109518728736,4.0,
snoke,1.97,5.207856157055212,4.918401449196413,4.0,
snood,1.8,4.458431015739533,4.155966212184034,4.0,
snook,2.48,4.235580194837095,3.8929662837203822,4.0,
snool,0.0,4.563860337796465,4.451428277687476,5.0,
snoop,3.4,4.326820032528526,4.087369424212323,4.0,4.0
snoot,1.94,4.605317458214691,4.518146934894584,5.0,
snore,2.76,5.655991197583365,5.577479792805564,4.0,3.0
snort,3.01,5.3157984363455695,5.347268488147344,4.0,3.0
snots,1.27,4.740174727925868,4.315682289518489,4.0,
snout,3.08,5.078006568412643,5.024989361665721,4.0,4.0
snowk,0.0,4.316540529456227,4.037997002532893,4.0,
snows,2.97,4.196945912260209,3.707736709735973,5.0,
snowy,3.46,4.492064963398259,4.3162804634936895,4.0,3.0
snubs,2.33,4.088413905722538,3.5666594888261542,5.0,
snuck,3.27,4.302212692781349,4.1822131172136165,4.0,4.0
snuff,3.15,3.537831523019559,3.420621964031005,4.0,4.0
snugs,1.45,4.118800494050918,3.6511816211461743,5.0,
snush,0.0,4.063837626684873,3.833823900669051,4.0,
snyes,0.0,4.704136721157908,4.218051533740386,4.0,
soaks,2.58,4.813881432486919,4.085915515529863,4.0,
soaps,3.19,4.933423441893264,4.287617056652008,4.0,
soapy,2.75,5.206309306008493,4.875621098133495,4.0,4.0
soare,1.2,6.0437229761310105,5.885202744292758,4.0,
soars,2.87,5.264414182223353,4.726473031647616,4.0,
soave,1.74,5.310690427029831,5.130903950060859,5.0,
sobas,0.0,4.804312718621815,4.105545223754652,5.0,
sober,3.94,5.48200805115972,5.209851967048016,4.0,3.0
socas,0.0,4.897890317940517,4.316299059217938,4.0,
soces,0.0,5.019569703775681,4.484601705518602,5.0,
socia,1.75,5.370603314299174,4.9980230627235365,3.0,
socko,1.44,4.099946737123307,3.728320612421725,4.0,
socks,4.03,4.260257108781072,3.6192395927040137,6.0,
socle,1.43,5.475343791506682,5.425149781865316,4.0,
sodas,2.91,4.974241242867111,4.258572928220828,5.0,
soddy,1.76,4.191851073691779,3.815599704360391,4.0,
sodic,1.33,4.952076688861749,4.670891969290648,4.0,
sodom,2.86,4.296727025460666,3.849524761072369,4.0,
sofar,1.9,5.223309436789685,5.061284041809168,4.0,
sofas,2.86,4.63187279252335,4.004565094478091,5.0,
softa,0.0,5.0722510769590645,4.799875990655639,4.0,
softs,1.78,4.369148838698107,3.8986589006065815,4.0,
softy,2.21,4.655796042608147,4.478092551510864,4.0,
soger,0.0,5.491786732600118,5.263740472020761,4.0,
soggy,3.14,3.991013478792892,3.718053495556232,4.0,3.0
sohur,0.0,4.98664079125481,4.893259985366001,3.0,
soils,3.57,5.000167917666507,4.486269792797747,5.0,
soily,0.0,5.267341028143136,5.062440601535587,2.0,
sojas,0.0,4.377907325739508,3.630306747811948,6.0,
sojus,0.0,3.9685957041839934,3.2658341186193924,5.0,
sokah,0.0,4.987050566979221,4.583477465560992,5.0,
soken,1.4,5.33530293001136,4.901723928143561,3.0,
sokes,0.0,4.894721956280304,4.116682250168526,6.0,
sokol,2.17,4.3474837767114,4.006758460608082,4.0,
solah,1.11,5.372917095349076,5.134953945505503,4.0,
solan,1.91,5.593355068640384,5.310612390300018,4.0,
solar,4.53,5.736462200461788,5.536945045928281,4.0,3.0
solas,2.3,5.1765011613588925,4.531148399381472,4.0,
solde,1.32,5.550364798432143,5.31165992601455,5.0,
soldi,1.74,5.21845911129833,4.7966559299441975,4.0,
soldo,1.69,4.568176445082732,4.204021784321808,4.0,
solds,0.0,4.725537660040079,4.1043977863244,5.0,
soled,2.28,5.602867257496336,5.301229184021243,3.0,
solei,0.0,5.77449204067166,5.395266260818892,3.0,
soler,2.36,5.829014381830245,5.602245662673775,3.0,
soles,3.18,5.3045487263488535,4.71835463166193,5.0,
solid,4.73,5.335789845449916,4.997202427240162,3.0,3.0
solon,2.66,4.692286769799515,4.454331572983607,4.0,
solos,3.33,4.276402632457121,3.6706302630952456,4.0,
solum,1.75,4.991278828420322,4.671557909194555,4.0,
solus,2.3,4.769642859504968,4.182124435721257,5.0,
solve,4.42,5.120424333912497,4.960155473754089,5.0,3.0
soman,1.84,5.367048975502686,4.952449301387023,4.0,
somas,1.28,4.942624630825006,4.167766043410789,5.0,
sonar,3.3,5.723976458575241,5.516082371885895,3.0,3.0
sonce,1.11,5.451315404303077,5.392739216248049,4.0,
sonde,1.41,5.515992260632864,5.244578741053091,4.0,
